encoder,seed,eta,quartile,horizon_step,best_of_k_cossim,best_of_k_mse,best_of_k_norm_ratio,mean_of_k_cossim,mlp_fair_cossim,mlp_residual_cossim,copy_baseline,pairwise_distance,spread,n_windows
vit_s16,0,0.0,Q1 (hardest),1,0.833823,2.110093,0.97728,0.797939,0.836024,0.858231,0.854667,0.053489,0.022065,1355
vit_s16,0,0.0,Q2,1,0.869958,1.650549,0.975962,0.838955,0.868114,0.906983,0.91613,0.053489,0.022065,1355
vit_s16,0,0.0,Q3,1,0.894808,1.339324,0.977915,0.867915,0.886507,0.931007,0.942666,0.053489,0.022065,1354
vit_s16,0,0.0,Q4 (easiest),1,0.900326,1.262981,0.980483,0.878147,0.882732,0.956372,0.977162,0.053489,0.022065,1355
vit_s16,0,0.0,Q1 (hardest),2,0.822337,2.250281,0.976285,0.785602,0.819636,0.809985,0.800841,0.053351,0.021733,1355
vit_s16,0,0.0,Q2,2,0.864047,1.728539,0.975369,0.833688,0.858723,0.869254,0.882157,0.053351,0.021733,1355
vit_s16,0,0.0,Q3,2,0.887719,1.429146,0.978034,0.861484,0.8768,0.898629,0.91944,0.053351,0.021733,1354
vit_s16,0,0.0,Q4 (easiest),2,0.899907,1.268236,0.98049,0.877693,0.877888,0.930702,0.967977,0.053351,0.021733,1355
vit_s16,0,0.0,Q1 (hardest),3,0.810006,2.403436,0.974804,0.772461,0.807571,0.780627,0.765786,0.05358,0.021902,1355
vit_s16,0,0.0,Q2,3,0.856373,1.827128,0.976544,0.826755,0.84711,0.843485,0.857548,0.05358,0.021902,1355
vit_s16,0,0.0,Q3,3,0.883201,1.485236,0.977225,0.855903,0.868321,0.87714,0.901831,0.05358,0.021902,1354
vit_s16,0,0.0,Q4 (easiest),3,0.899022,1.279655,0.980209,0.876548,0.869201,0.911691,0.960921,0.05358,0.021902,1355
vit_s16,0,0.0,Q1 (hardest),4,0.798746,2.544897,0.973563,0.759511,0.797166,0.762888,0.741622,0.053505,0.022062,1355
vit_s16,0,0.0,Q2,4,0.850149,1.90467,0.976923,0.81956,0.837583,0.825572,0.838702,0.053505,0.022062,1355
vit_s16,0,0.0,Q3,4,0.880274,1.523422,0.977568,0.853109,0.862684,0.864527,0.887805,0.053505,0.022062,1354
vit_s16,0,0.0,Q4 (easiest),4,0.897699,1.296066,0.97955,0.875411,0.862535,0.900814,0.954511,0.053505,0.022062,1355
clip_b32,0,0.0,Q1 (hardest),1,0.917647,0.034796,0.994364,0.898359,0.911078,0.925327,0.923343,0.022689,0.011119,1355
clip_b32,0,0.0,Q2,1,0.934176,0.027633,0.989024,0.918365,0.925935,0.950227,0.954249,0.022689,0.011119,1355
clip_b32,0,0.0,Q3,1,0.943618,0.023579,0.987623,0.929832,0.934198,0.963433,0.968605,0.022689,0.011119,1354
clip_b32,0,0.0,Q4 (easiest),1,0.946297,0.022199,0.985213,0.934658,0.937289,0.978532,0.98617,0.022689,0.011119,1355
clip_b32,0,0.0,Q1 (hardest),2,0.910673,0.037645,0.993777,0.890665,0.90175,0.902129,0.897277,0.022684,0.011111,1355
clip_b32,0,0.0,Q2,2,0.9313,0.028884,0.989471,0.915163,0.921346,0.933996,0.938273,0.022684,0.011111,1355
clip_b32,0,0.0,Q3,2,0.941743,0.024371,0.987588,0.928224,0.930537,0.949328,0.956551,0.022684,0.011111,1354
clip_b32,0,0.0,Q4 (easiest),2,0.946196,0.022246,0.985174,0.934795,0.935009,0.969684,0.981356,0.022684,0.011111,1355
clip_b32,0,0.0,Q1 (hardest),3,0.905659,0.039635,0.993911,0.885731,0.894812,0.889066,0.88148,0.022713,0.011157,1355
clip_b32,0,0.0,Q2,3,0.928193,0.030253,0.9893,0.911907,0.915967,0.92276,0.926403,0.022713,0.011157,1355
clip_b32,0,0.0,Q3,3,0.939757,0.02523,0.986572,0.925756,0.925994,0.939897,0.947795,0.022713,0.011157,1354
clip_b32,0,0.0,Q4 (easiest),3,0.945731,0.022431,0.985638,0.934306,0.931845,0.96314,0.977359,0.022713,0.011157,1355
clip_b32,0,0.0,Q1 (hardest),4,0.90123,0.041513,0.993121,0.881051,0.889653,0.878526,0.869752,0.022668,0.011122,1355
clip_b32,0,0.0,Q2,4,0.926033,0.0311,0.989279,0.910022,0.911756,0.915012,0.917182,0.022668,0.011122,1355
clip_b32,0,0.0,Q3,4,0.937492,0.026193,0.986506,0.923708,0.922351,0.934262,0.941316,0.022668,0.011122,1354
clip_b32,0,0.0,Q4 (easiest),4,0.944505,0.022953,0.98659,0.933067,0.927812,0.957943,0.974181,0.022668,0.011122,1355
vjepa2_rep64,0,0.0,Q1 (hardest),1,0.983653,0.08482,0.989417,0.977628,0.980181,0.988548,0.977674,0.00227,0.003028,1355
vjepa2_rep64,0,0.0,Q2,1,0.988504,0.060763,0.991495,0.985324,0.984926,0.994574,0.993255,0.00227,0.003028,1355
vjepa2_rep64,0,0.0,Q3,1,0.990376,0.051933,0.991697,0.988145,0.986336,0.996228,0.996055,0.00227,0.003028,1354
vjepa2_rep64,0,0.0,Q4 (easiest),1,0.991133,0.048947,0.990191,0.988971,0.986446,0.997639,0.998057,0.00227,0.003028,1355
vjepa2_rep64,0,0.0,Q1 (hardest),2,0.977722,0.11476,0.988609,0.972659,0.973632,0.979052,0.959071,0.002249,0.002587,1355
vjepa2_rep64,0,0.0,Q2,2,0.986631,0.070436,0.991266,0.984056,0.982213,0.989185,0.986316,0.002249,0.002587,1355
vjepa2_rep64,0,0.0,Q3,2,0.988992,0.058922,0.992345,0.98692,0.984016,0.992483,0.992091,0.002249,0.002587,1354
vjepa2_rep64,0,0.0,Q4 (easiest),2,0.990662,0.051941,0.989798,0.988663,0.984007,0.995551,0.996158,0.002249,0.002587,1355
vjepa2_rep64,0,0.0,Q1 (hardest),3,0.969784,0.155215,0.9866,0.963837,0.96609,0.969275,0.941329,0.002233,0.002587,1355
vjepa2_rep64,0,0.0,Q2,3,0.983626,0.086006,0.991575,0.981248,0.978963,0.984809,0.980277,0.002233,0.002587,1355
vjepa2_rep64,0,0.0,Q3,3,0.987958,0.064316,0.991399,0.985791,0.981833,0.989366,0.988228,0.002233,0.002587,1354
vjepa2_rep64,0,0.0,Q4 (easiest),3,0.989783,0.056826,0.989821,0.98775,0.980765,0.993845,0.994447,0.002233,0.002587,1355
vjepa2_rep64,0,0.0,Q1 (hardest),4,0.961567,0.196719,0.98593,0.95397,0.959257,0.960778,0.926486,0.002287,0.002858,1355
vjepa2_rep64,0,0.0,Q2,4,0.980531,0.102006,0.991073,0.978019,0.975853,0.981031,0.975126,0.002287,0.002858,1355
vjepa2_rep64,0,0.0,Q3,4,0.986411,0.072593,0.991292,0.984418,0.979865,0.987144,0.985121,0.002287,0.002858,1354
vjepa2_rep64,0,0.0,Q4 (easiest),4,0.989209,0.059961,0.990086,0.987111,0.97799,0.992443,0.993169,0.002287,0.002858,1355
